,Unnamed: 0,tweet,hash,stopped,lemmaed
31413,31413,so the main contention between pradip103 and yrdeshmukhis west bengal,republicexitpoll,main contention pradip103 yrdeshmukhis west bengal,main contention pradip103 yrdeshmukhis west bengal
31414,31414,dhruvrathee dhakan check ndtv,exitpoll2019,dhruvrathee dhakan check ndtv,dhruvrathee dhakan check ndtv
31416,31416,rubikaliyaquat what a amazing show hosting madam hatts off and best of luck for your rising credibilaty among journalists,exitpoll2019,rubikaliyaquat amazing show hosting madam hatts best luck rising credibilaty among journalists,rubikaliyaquat amazing show hosting madam hatts best luck rising credibilaty among journalist
31417,31417,india and tamil nadu,exitpoll2019,india tamil nadu,india tamil nadu
31418,31418,you kashmiri terrorists and stone pelters aa reha hai humare sher tum log ki lene phir se,exitpoll2019,kashmiri terrorists stone pelters aa reha hai humare sher tum log ki lene phir se,kashmiri terrorist stone pelter aa reha hai humare sher tum log ki lene phir se
31419,31419,dhruvrathee no matter what the says you should be happy being a bootlicker who got enf attention despite being an idiot,exitpoll2019,dhruvrathee matter says happy bootlicker got enf attention despite idiot,dhruvrathee matter say happy bootlicker got enf attention despite idiot
31420,31420,rubikaliyaquat sahi baat,modiaanewalahai,rubikaliyaquat sahi baat,rubikaliyaquat sahi baat
31421,31421,this is nothing but full of entertainment now we have to wait for 23 rd,exitpoll2019,nothing full entertainment wait 23 rd,nothing full entertainment wait 23 rd
31423,31423,meenali20 ndtv narendramodi,apnamodiaayega,meenali20 ndtv narendramodi,meenali20 ndtv narendramodi
31424,31424,hahaha after rahulgandhi having sandwich massage at bankok seems didnt work where will he go now divyaspandana,exitpoll2019,hahaha rahulgandhi sandwich massage bankok seems didnt work go divyaspandana,hahaha rahulgandhi sandwich massage bankok seems didnt work go divyaspandana
31425,31425,bjp supporter to congress,exitpoll2019,bjp supporter congress,bjp supporter congress
31426,31426,twist in the final episode of game of thrones modi wins o o o,exitpoll,twist final episode game thrones modi wins,twist final episode game throne modi win
31427,31427,the modi factor will be pushing bjp over the threshold kanchan gupta senior journalist,republicexitpoll,modi factor pushing bjp threshold kanchan gupta senior journalist,modi factor pushing bjp threshold kanchan gupta senior journalist
31428,31428,condition of pseudo liberalsanti nationals separatist terrorist sympathisers now,exitpoll2019,condition pseudo liberalsanti nationals separatist terrorist sympathisers,condition pseudo liberalsanti national separatist terrorist sympathiser
31429,31429,we want to know how many seats bjp alone going to win please show it,republicexitpoll,want know many seats bjp alone going win please show,want know many seat bjp alone going win please show
31430,31430,great work by the republic india regarding the exit poll keep it up arnavji,republicexitpoll,great work republic india regarding exit poll keep arnavji,great work republic india regarding exit poll keep arnavji
31431,31431,chetanbhagat,aayegatomodihi,chetanbhagat,chetanbhagat
31432,31432,thread,exitpoll2019,thread,thread
31434,31434,god bless india,exitpoll2019,god bless india,god bless india
31435,31435,who is next pm of india,exitpoll2019,next pm india,next pm india
31436,31436,bjp4india,apnamodiaayega,bjp4india,bjp4india
31437,31437,these are for share market opening tomorrowjust fake numbers no reality 23rd may will be deciding,exitpolls,share market opening tomorrowjust fake numbers reality 23rd may deciding,share market opening tomorrowjust fake number reality 23rd may deciding
31439,31439,meamabhishek i m dying to hear your words say something,exitpoll2019,meamabhishek dying hear words say something,meamabhishek dying hear word say something
31440,31440,exit poll ke result ke baad barnol ki bikri mein 100 ishafa what a uuuu movement,exitpoll2019,exit poll ke result ke baad barnol ki bikri mein 100 ishafa uuuu movement,exit poll ke result ke baad barnol ki bikri mein 100 ishafa uuuu movement
31441,31441,i go with wionews,exitpoll2019,go wionews,go wionews
31443,31443,bjp,republicexitpoll,bjp,bjp
31444,31444,omarabdullah exit poll ke result ke baad barnol ki bikri mein 100 ishafa what a uuuu movement,exitpoll2019,omarabdullah exit poll ke result ke baad barnol ki bikri mein 100 ishafa uuuu movement,omarabdullah exit poll ke result ke baad barnol ki bikri mein 100 ishafa uuuu movement
31445,31445,jantakareporter no newsx also give 242 seats to nda hung assembly prediction i,loksabhaelections2019,jantakareporter newsx also give 242 seats nda hung assembly prediction,jantakareporter newsx also give 242 seat nda hung assembly prediction
31446,31446,manakgupta sanjayazadsln ji ko batao,exitpoll2019,manakgupta sanjayazadsln ji ko batao,manakgupta sanjayazadsln ji ko batao
31447,31447,tarekfatah narendramodi exit poll ke result ke baad barnol ki bikri mein 100 ishafa what a uuuu movement,exitpoll2019,tarekfatah narendramodi exit poll ke result ke baad barnol ki bikri mein 100 ishafa uuuu movement,tarekfatah narendramodi exit poll ke result ke baad barnol ki bikri mein 100 ishafa uuuu movement
31448,31448,aayega toh rahul hi thailand tourism,exitpoll2019,aayega toh rahul hi thailand tourism,aayega toh rahul hi thailand tourism
31449,31449,ndtv wale abhi chaati peet peet kar ro rhe h,exitpoll2019,ndtv wale abhi chaati peet peet kar ro rhe h,ndtv wale abhi chaati peet peet kar ro rhe h
31450,31450,poll dekh kar to rahul ji soch rahe honge apna time kab ayega apun to neta ban gaya per pm kab ban payega,exitpoll2019,poll dekh kar rahul ji soch rahe honge apna time kab ayega apun neta ban gaya per pm kab ban payega,poll dekh kar rahul ji soch rahe honge apna time kab ayega apun neta ban gaya per pm kab ban payega
31451,31451,all the intellectual people who were calling us bhakt now i can say yes we are bhakt now fuck off,exitpoll2019,intellectual people calling us bhakt say yes bhakt fuck,intellectual people calling u bhakt say yes bhakt fuck
31452,31452,news18 exit poll survey predicts that the trs will win 1214 lok sabha seats,news18ipsosexitpoll,news18 exit poll survey predicts trs win 1214 lok sabha seats,news18 exit poll survey predicts trs win 1214 lok sabha seat
31453,31453,i can watch salim aka yoginder yadav practically weeping,exitpoll2019,watch salim aka yoginder yadav practically weeping,watch salim aka yoginder yadav practically weeping
31454,31454,wions palkisu sums up 10 key takeaways from,exitpoll2019,wions palkisu sums 10 key takeaways,wions palkisu sum 10 key takeaway
31455,31455,rahul waiting for bangkok flight after the,exitpolls,rahul waiting bangkok flight,rahul waiting bangkok flight
31456,31456,bjp4india welcome to a brave new world,ayegatohmodihi,bjp4india welcome brave new world,bjp4india welcome brave new world
31457,31457,bahut takleef ho rahi hai bhai ko sara payment wapas karna padega lagta hai,exitpoll2019,bahut takleef ho rahi hai bhai ko sara payment wapas karna padega lagta hai,bahut takleef ho rahi hai bhai ko sara payment wapas karna padega lagta hai
31458,31458,thetribunechd captamarinder capt sahib resignation wali juban yaad rakhna,aayegatomodihi,thetribunechd captamarinder capt sahib resignation wali juban yaad rakhna,thetribunechd captamarinder capt sahib resignation wali juban yaad rakhna
31460,31460,claiming bjp 220 might be believable but this close to 300 is ridiculous even modifans wouldnt have dared to predict this,exitpolls,claiming bjp 220 might believable close 300 ridiculous even modifans wouldnt dared predict,claiming bjp 220 might believable close 300 ridiculous even modifans wouldnt dared predict
31461,31461,meanwhile narender modi biopic released date postponed to 2023 during election camapign,exitpoll2019,meanwhile narender modi biopic released date postponed 2023 election camapign,meanwhile narender modi biopic released date postponed 2023 election camapign
31462,31462,more reason to keep a vigil eye on evm strongrooms and counting,exitpoll2019,reason keep vigil eye evm strongrooms counting,reason keep vigil eye evm strongroom counting
31463,31463,summary of all the,exitpoll2019,summary,summary
31464,31464,23 may ko counting me jaoge,abkibaar300paar,23 may ko counting jaoge,23 may ko counting jaoge
31465,31465,anjanaomkashyap har har modi,apnamodiaayega,anjanaomkashyap har har modi,anjanaomkashyap har har modi
31466,31466,stake high for bjp as per todays chanakya survey,exitpoll2019,stake high bjp per todays chanakya survey,stake high bjp per today chanakya survey
31467,31467,bjp supporters watching,exitpoll2019,bjp supporters watching,bjp supporter watching
31468,31468,last time they predicted 90 correct lets see them this time,exitpoll2019,last time predicted 90 correct lets see time,last time predicted 90 correct let see time
31469,31469,areedada minorities after watching,exitpoll2019,areedada minorities watching,areedada minority watching
31470,31470,after watching congress people saying aayega to modi he,exitpoll2019,watching congress people saying aayega modi,watching congress people saying aayega modi
31472,31472,yupee ab ki baar bhi,modi,yupee ab ki baar bhi,yupee ab ki baar bhi
31473,31473,aayega toh modi hi,exitpoll2019,aayega toh modi hi,aayega toh modi hi
31474,31474,according to most exit polls it seems ndas chief competition is virender sehwag 319,exitpoll2019,according exit polls seems ndas chief competition virender sehwag 319,according exit poll seems ndas chief competition virender sehwag 319
31476,31476,nandyasmita seems like her lynchistan story was all noisebong has gone into hiding,exitpoll2019,nandyasmita seems like lynchistan story noisebong gone hiding,nandyasmita seems like lynchistan story noisebong gone hiding
31477,31477,modi doesnt fight election based on,exitpoll2019,modi doesnt fight election based,modi doesnt fight election based
31478,31478,i am really liking the facial expressions of nidhi sagarikaghose on ndtv,exitpoll2019,really liking facial expressions nidhi sagarikaghose ndtv,really liking facial expression nidhi sagarikaghose ndtv
31480,31480,my son says is just like balakot airstrike on opposition,exitpoll2019,son says like balakot airstrike opposition,son say like balakot airstrike opposition
31481,31481,hope bjp wins at least 50 seats in up,exitpoll2019,hope bjp wins least 50 seats,hope bjp win least 50 seat
31482,31482,taminadu 19 dmk alliance13 admk alliance8 others,exitpoll2019,taminadu 19 dmk alliance13 admk alliance8 others,taminadu 19 dmk alliance13 admk alliance8 others
31483,31483,lambaalka,aayegatomodihi,lambaalka,lambaalka
31484,31484,even ndtv has given it to bjp this time,exitpoll,even ndtv given bjp time,even ndtv given bjp time
31485,31485,this dhruvrathee is the happiest person today he will get paid to publish lies for the next fives years as well,exitpoll2019,dhruvrathee happiest person today get paid publish lies next fives years well,dhruvrathee happiest person today get paid publish lie next five year well
31486,31486,kindha padthe pothaav saami jagrattha,exitpoll2019,kindha padthe pothaav saami jagrattha,kindha padthe pothaav saami jagrattha
31487,31487,narendramodi,deshkagauravmodi,narendramodi,narendramodi
31490,31490,modi 20 version,aajtakaxisexitpoll,modi 20 version,modi 20 version
31491,31491,waiting for the counter and dissection by abhisarsharma and others this should be fun,exitpoll2019,waiting counter dissection abhisarsharma others fun,waiting counter dissection abhisarsharma others fun
31492,31492,no one more than rajiv kumar ex comm kolkata will be praying for exit polls to be incorrect,exitpoll2019,one rajiv kumar ex comm kolkata praying exit polls incorrect,one rajiv kumar ex comm kolkata praying exit poll incorrect
31493,31493,so basically bjp is winning again and here democracy has changed into permanentcracysorry,exitpoll2019,basically bjp winning democracy changed permanentcracysorry,basically bjp winning democracy changed permanentcracysorry
31494,31494,is it tsunami or tsunamo,exitpoll2019,tsunami tsunamo,tsunami tsunamo
31495,31495,who will form the next government,exitpoll2019,form next government,form next government
31497,31497,humne toh apna purana roj ka kaam shuru bhi kar diya,exitpoll2019,humne toh apna purana roj ka kaam shuru bhi kar diya,humne toh apna purana roj ka kaam shuru bhi kar diya
31498,31498,satyenaiadmk to loose in as per thanthitv,madurai,satyenaiadmk loose per thanthitv,satyenaiadmk loose per thanthitv
31499,31499,today lost its credibility it has become a laughing stock for me,exitpoll2019,today lost credibility become laughing stock,today lost credibility become laughing stock
31500,31500,modi is king again,exitpoll2019,modi king,modi king
31501,31501,reallyswara medm whats ur take on when are u blaming evm and election commission congratulations nahi dogi hame,exitpolls,reallyswara medm whats ur take u blaming evm election commission congratulations nahi dogi hame,reallyswara medm whats ur take u blaming evm election commission congratulation nahi dogi hame
31502,31502,arnab ek vyakti aaj london ja rahe hain shri pappuji,indiatodayaxispoll,arnab ek vyakti aaj london ja rahe hain shri pappuji,arnab ek vyakti aaj london ja rahe hain shri pappuji
31503,31503,if the numbers are right then also they have to head for kedarnath,exilpoll2019,numbers right also head kedarnath,number right also head kedarnath
31504,31504,i want to see the candidate wise prediction,republicexitpoll,want see candidate wise prediction,want see candidate wise prediction
31505,31505,should the opposition now exit the polls,exitpolls,opposition exit polls,opposition exit poll
31506,31506,me to media after watching,exitpoll2019,media watching,medium watching
31507,31507,saying hindus are winning once again what do u say ranaayyub,exitpoll2019,saying hindus winning u say ranaayyub,saying hindu winning u say ranaayyub
31509,31509,maha exit poll result in one line aayega to modi hi,exitpoll2019,maha exit poll result one line aayega modi hi,maha exit poll result one line aayega modi hi
31510,31510,hints us for modi 20 chowkidhar is back,exitpoll2019,hints us modi 20 chowkidhar back,hint u modi 20 chowkidhar back
31511,31511,market to fall tomorrow,exitpoll2019,market fall tomorrow,market fall tomorrow
31512,31512,amit shah is the real chanakya,republicexitpoll,amit shah real chanakya,amit shah real chanakya
31513,31513,chetanbhagat,aayegatomodihi,chetanbhagat,chetanbhagat
31514,31514,kunalkamra88 dhruvrathee kitna bhi jhoot faila lo,aayegatomodihi,kunalkamra88 dhruvrathee kitna bhi jhoot faila lo,kunalkamra88 dhruvrathee kitna bhi jhoot faila lo
31515,31515,finally sardesairajdeep has started giving food references now feels normal,indiatodayaxispoll,finally sardesairajdeep started giving food references feels normal,finally sardesairajdeep started giving food reference feel normal
31516,31516,bjp4india incindia,exitpoll2019,bjp4india incindia,bjp4india incindia
31517,31517,waiting for the news evm se chhed chaad kiya gaya tha hacked thi wo,exitpoll2019,waiting news evm se chhed chaad kiya gaya tha hacked thi wo,waiting news evm se chhed chaad kiya gaya tha hacked thi wo
31518,31518,matam to abhi chha gaya hoga rahulgandhi ji kahi vaynad bhi na haar jaye jhasanjay sanjaynirupam,exitpoll2019,matam abhi chha gaya hoga rahulgandhi ji kahi vaynad bhi na haar jaye jhasanjay sanjaynirupam,matam abhi chha gaya hoga rahulgandhi ji kahi vaynad bhi na haar jaye jhasanjay sanjaynirupam
31519,31519,who did you vote for,exitpolls,vote,vote
31520,31520,i pity the which would get blamed for rahulgandhi and incindia loss,evms,pity would get blamed rahulgandhi incindia loss,pity would get blamed rahulgandhi incindia loss
31521,31521,nda 300 namo again,indiatodayaxispoll,nda 300 namo,nda 300 namo
31522,31522,tum desh ko lootthe javogey our samajhte ho hum dekhte rehjayenge,republicexitpoll,tum desh ko lootthe javogey samajhte ho hum dekhte rehjayenge,tum desh ko lootthe javogey samajhte ho hum dekhte rehjayenge
31523,31523,heres what the consolidated exit poll predictions say more updates here,exitpoll2019,heres consolidated exit poll predictions say updates,here consolidated exit poll prediction say update
31524,31524,im done after reading this,exitpoll2019,im done reading,im done reading
31525,31525,sunildeodhar ne india is clean sweep for bjp and nda congress to get max 6 to 7 in ne region narendramodi sunildeodhar,exitpolls,sunildeodhar ne india clean sweep bjp nda congress get max 6 7 ne region narendramodi sunildeodhar,sunildeodhar ne india clean sweep bjp nda congress get max 6 7 ne region narendramodi sunildeodhar
31527,31527,latest tweetology for,exitpoll2019,latest tweetology,latest tweetology
31528,31528,namo again,republicexitpoll,namo,namo
31529,31529,rona bandh kar apply cc narendramodi ravinarin,burnol,rona bandh kar apply cc narendramodi ravinarin,rona bandh kar apply cc narendramodi ravinarin
31530,31530,narendramodi after election,exitpoll2019,narendramodi election,narendramodi election
31532,31532,khushbootweets,aayegatomodihi,khushbootweets,khushbootweets
31533,31533,girirajsinghbjp sir aap jeet rahe hein,republicexitpoll,girirajsinghbjp sir aap jeet rahe hein,girirajsinghbjp sir aap jeet rahe hein
31534,31534,meme from future,exitpoll2019,meme future,meme future
31537,31537,rg has booked a holidaypriyanka and vadra back to dope school time to go on a permanant holiday,exitpoll2019,rg booked holidaypriyanka vadra back dope school time go permanant holiday,rg booked holidaypriyanka vadra back dope school time go permanant holiday
31538,31538,raonava,apnamodiaayega,raonava,raonava
31539,31539,chowkidar sure hai,exitpoll2019,chowkidar sure hai,chowkidar sure hai
31540,31540,if exit polls will same as real polls then respected parties and their leaders whats your position in politics,exitpoll2019,exit polls real polls respected parties leaders whats position politics,exit poll real poll respected party leader whats position politics
31542,31542,in a parallel universe,exitpoll2019,parallel universe,parallel universe
31544,31544,rahulgandhi tickets booked tajinderbagga chetanbhagat ani ndtv timesofindia cnnnews18,jeetegatomodihi,rahulgandhi tickets booked tajinderbagga chetanbhagat ani ndtv timesofindia cnnnews18,rahulgandhi ticket booked tajinderbagga chetanbhagat ani ndtv timesofindia cnnnews18
31545,31545,superlonday aajtak burnol moment for leftiest tukde tukde gang liberals,exitpoll2019,superlonday aajtak burnol moment leftiest tukde tukde gang liberals,superlonday aajtak burnol moment leftiest tukde tukde gang liberal
31546,31546,people like joker alimuddin khan will be the death of congress,republicexitpoll,people like joker alimuddin khan death congress,people like joker alimuddin khan death congress
31547,31547,have you seen the nda 339365upa 77108oth 6995aayega to modi hi,exitpolls,seen nda 339365upa 77108oth 6995aayega modi hi,seen nda 339365upa 77108oth 6995aayega modi hi
31548,31548,its 70 in delhi for sure,exitpoll2019,70 delhi sure,70 delhi sure
31549,31549,ram lala hum aa rhe hai mandir vahi bna rhe hai100,exitpoll2019,ram lala hum aa rhe hai mandir vahi bna rhe hai100,ram lala hum aa rhe hai mandir vahi bna rhe hai100
31551,31551,ye alimuddin aur dushyant bawkhalagaye hai republic,republicexitpoll,ye alimuddin aur dushyant bawkhalagaye hai republic,ye alimuddin aur dushyant bawkhalagaye hai republic
31552,31552,kapilmishraind birbal29,jeetegatomodihi,kapilmishraind birbal29,kapilmishraind birbal29
31553,31553,meanwhile kejri amp team,exitpoll2019,meanwhile kejri amp team,meanwhile kejri amp team
31555,31555,the lesson to be learnt if exit polls turn true jo dikhtadikhata hai wo bikta hai,exitpoll2019,lesson learnt exit polls turn true jo dikhtadikhata hai wo bikta hai,lesson learnt exit poll turn true jo dikhtadikhata hai wo bikta hai
31556,31556,all opposition parties please evm wale tweets draft m rakhlo 23rd may ko kaam aayenge,exitpoll2019,opposition parties please evm wale tweets draft rakhlo 23rd may ko kaam aayenge,opposition party please evm wale tweet draft rakhlo 23rd may ko kaam aayenge
31557,31557,haufru azmishabana azmikaifi shabana azmi ab tho ticket book karwalo utrun mat hona hahahaha,aayegatomodihi,haufru azmishabana azmikaifi shabana azmi ab tho ticket book karwalo utrun mat hona hahahaha,haufru azmishabana azmikaifi shabana azmi ab tho ticket book karwalo utrun mat hona hahahaha
31558,31558,what is the biggest winning factor for modi,exitpolls,biggest winning factor modi,biggest winning factor modi
31559,31559,news anchors to congress spokesperson,exitpoll2019,news anchors congress spokesperson,news anchor congress spokesperson
31560,31560,,republicexitpoll,,
31561,31561,the meltdown of ravishndtv aunindyoc on ndtv is epic,exitpoll2019,meltdown ravishndtv aunindyoc ndtv epic,meltdown ravishndtv aunindyoc ndtv epic
31562,31562,bjp4india supporters watching,exitpoll2019,bjp4india supporters watching,bjp4india supporter watching
31563,31563,how predictable are exit pollswill india continue to be a democracydoes god existasking for a nonhindu friend,exitpoll2019,predictable exit pollswill india continue democracydoes god existasking nonhindu friend,predictable exit pollswill india continue democracydoes god existasking nonhindu friend
31564,31564,there is no need to worry folks bjp wont be crossing 230 for sure keep calm and wait for the results,exitpoll2019,need worry folks bjp wont crossing 230 sure keep calm wait results,need worry folk bjp wont crossing 230 sure keep calm wait result
31565,31565,bjp supporters watching,exitpoll2019,bjp supporters watching,bjp supporter watching
31566,31566,what is your honest opinion on,exitpoll2019,honest opinion,honest opinion
31567,31567,reallyswara after watching the have you booked your flight tickets,exitpoll,reallyswara watching booked flight tickets,reallyswara watching booked flight ticket
31570,31570,narendramodi amitshah bjp4india bjp4assam bjp4dhemaji,jeetegatomodihi,narendramodi amitshah bjp4india bjp4assam bjp4dhemaji,narendramodi amitshah bjp4india bjp4assam bjp4dhemaji
31571,31571,so up holds the key for margin of victory,exitpoll2019,holds key margin victory,hold key margin victory
31573,31573,sengarajay505,jeetegatomodihi,sengarajay505,sengarajay505
31574,31574,ndtv office right now,exitpoll2019,ndtv office right,ndtv office right
31575,31575,my next prime minister of india pmoindia pmoindialive narendramodiin,exitpoll2019,next prime minister india pmoindia pmoindialive narendramodiin,next prime minister india pmoindia pmoindialive narendramodiin
31576,31576,i wonder not any channel gave bjp 400 mark as i totally agree they will get this mark this time,exitpoll2019,wonder channel gave bjp 400 mark totally agree get mark time,wonder channel gave bjp 400 mark totally agree get mark time
31577,31577,not a single giving leads than 250 to nda,exitpoll2019,single giving leads 250 nda,single giving lead 250 nda
31578,31578,do you trust divyaspandana,exitpolls,trust divyaspandana,trust divyaspandana
31579,31579,do you believe this crap i dont see bjp winning more than 200 seats lets see,exitpoll2019,believe crap dont see bjp winning 200 seats lets see,believe crap dont see bjp winning 200 seat let see
31580,31580,so r gandhi is leaving india for london by midnight flight republic reports,republicexitpoll,r gandhi leaving india london midnight flight republic reports,r gandhi leaving india london midnight flight republic report
31581,31581,republic why are these guys screaming like mad peoplecant they ever be decent on a debate on national television,republicexitpoll,republic guys screaming like mad peoplecant ever decent debate national television,republic guy screaming like mad peoplecant ever decent debate national television
31582,31582,we hindus lets pat each other today we made it possible for us to have a country to live in a new beginning,exitpoll2019,hindus lets pat today made possible us country live new beginning,hindu let pat today made possible u country live new beginning
31583,31583,chetanbhagat,aayegatomodihi,chetanbhagat,chetanbhagat
31584,31584,once in five years arnab gets very very happy,exitpoll2019,five years arnab gets happy,five year arnab get happy
31585,31585,hearing you are leaving to london tonight rahulgandhi true,exitpoll2019,hearing leaving london tonight rahulgandhi true,hearing leaving london tonight rahulgandhi true
31586,31586,anantgj,jeetegatomodihi,anantgj,anantgj
31587,31587,arvindkejriwal lagta he isne pehle hi dekh liya he sapne me,exitpoll2019,arvindkejriwal lagta isne pehle hi dekh liya sapne,arvindkejriwal lagta isne pehle hi dekh liya sapne
31588,31588,ye ndtv wale apne exit poll me pure seat ka nahi dikha rhe taki unko bjp ke 300 seats dikhane na pde d,exitpoll2019,ye ndtv wale apne exit poll pure seat ka nahi dikha rhe taki unko bjp ke 300 seats dikhane na pde,ye ndtv wale apne exit poll pure seat ka nahi dikha rhe taki unko bjp ke 300 seat dikhane na pde
31589,31589,sardesairajdeep rahulkanwal terrific exit poll coverage except for up others looks good,indiatodayaxispoll,sardesairajdeep rahulkanwal terrific exit poll coverage except others looks good,sardesairajdeep rahulkanwal terrific exit poll coverage except others look good
31591,31591,a shit always attracts flies,electionresults2019,shit always attracts flies,shit always attracts fly
31592,31592,why congress is doing well in tamil nadusomebody please enlighten me,exitpoll2019,congress well tamil nadusomebody please enlighten,congress well tamil nadusomebody please enlighten
31593,31593,republic all the tasleems allimuddins cockroach abbas are more than defeated are destroyed,republicexitpoll,republic tasleems allimuddins cockroach abbas defeated destroyed,republic tasleems allimuddins cockroach abbas defeated destroyed
31594,31594,ndtv bhi nda ko 300 de raha he aur kitne achhe din chahiye,exitpoll2019,ndtv bhi nda ko 300 de raha aur kitne achhe din chahiye,ndtv bhi nda ko 300 de raha aur kitne achhe din chahiye
31595,31595,retweet if you agree,abkibaar300paar,retweet agree,retweet agree
31596,31596,dalits not voted bjpmuslims not voted bjp75 obcs did not vote bjphow the hell is bjp getting 300 oh of modia understood,exitpolls,dalits voted bjpmuslims voted bjp75 obcs vote bjphow hell bjp getting 300 oh modia understood,dalits voted bjpmuslims voted bjp75 obcs vote bjphow hell bjp getting 300 oh modia understood
31598,31598,sampitroda thanks for yours help,exitpolls,sampitroda thanks help,sampitroda thanks help
31599,31599,bhai times now deleted the tweet,exitpoll2019,bhai times deleted tweet,bhai time deleted tweet
31600,31600,how the was covered todaybest thread,exitpolls,covered todaybest thread,covered todaybest thread
31601,31601,meanwhile in opposition,exitpoll2019,meanwhile opposition,meanwhile opposition
31603,31603,tell no entry for congress an nda,exitpolls,tell entry congress nda,tell entry congress nda
31604,31604,after seeing resultsmodiji feelings,exitpolls,seeing resultsmodiji feelings,seeing resultsmodiji feeling
31605,31605,hwnewsenglish sujitnair90 vinoddua7 abhisarsharma was waiting for your,exitpolls,hwnewsenglish sujitnair90 vinoddua7 abhisarsharma waiting,hwnewsenglish sujitnair90 vinoddua7 abhisarsharma waiting
31606,31606,shashitharoor suggest that you will be in jail in the next six months chill,exitpoll2019,shashitharoor suggest jail next six months chill,shashitharoor suggest jail next six month chill
31607,31607,superb coverage of rahulkanwal and team kudos,exitpoll2019,superb coverage rahulkanwal team kudos,superb coverage rahulkanwal team kudos
31608,31608,if these trend holds i dont think rahul would be able to save his amethi seat as well,news24todayschanakya,trend holds dont think rahul would able save amethi seat well,trend hold dont think rahul would able save amethi seat well
31609,31609,troll of trolls,exitpoll2019,troll trolls,troll troll
31610,31610,theskindoctor13 waiting for mgb whatsapp chat after seeing,exitpoll2019,theskindoctor13 waiting mgb whatsapp chat seeing,theskindoctor13 waiting mgb whatsapp chat seeing
31611,31611,can some channel tell me who is winning india vs pakistan on june 16th,exitpoll2019,channel tell winning india vs pakistan june 16th,channel tell winning india v pakistan june 16th
31612,31612,rajanshukla,modiaanewalahai,rajanshukla,rajanshukla
31613,31613,says it all,exitpolls,says,say
31614,31614,hindu mahasabha celebrating nathuran godses birthday in agra,modihaitohgodsehai,hindu mahasabha celebrating nathuran godses birthday agra,hindu mahasabha celebrating nathuran god birthday agra
31615,31615,indicate a massive modi wave,exitpolls,indicate massive modi wave,indicate massive modi wave
31616,31616,hua toh hua,exitpolls,hua toh hua,hua toh hua
31617,31617,every cant be wrong,exitpoll2019,every cant wrong,every cant wrong
31618,31618,im not at all surprised but im still very sad,exitpoll2019,im surprised im still sad,im surprised im still sad
31620,31620,it seems bjp4india amitshah did a huge mistake by making alliance with aiadmk,exitpoll2019,seems bjp4india amitshah huge mistake making alliance aiadmk,seems bjp4india amitshah huge mistake making alliance aiadmk
31621,31621,was a game changer,news24todayschanakya,game changer,game changer
31622,31622,best tips and benifits for time managementtime management,exitpoll2019,best tips benifits time managementtime management,best tip benifits time managementtime management
31623,31623,in the incindia stronghold of punjab the has given the party the edge with 10 seats,news18ipsosexitpoll,incindia stronghold punjab given party edge 10 seats,incindia stronghold punjab given party edge 10 seat
31624,31624,feel so depressed hope may 23rd brings some good news,exitpolls,feel depressed hope may 23rd brings good news,feel depressed hope may 23rd brings good news
31625,31625,congratulations kanhaiyakumar for loosing election,exitpoll2019,congratulations kanhaiyakumar loosing election,congratulation kanhaiyakumar loosing election
31626,31626,aaj kisne kisne ravish k show me khan market gangs ko dekh intne fustation m,exitpoll2019,aaj kisne kisne ravish k show khan market gangs ko dekh intne fustation,aaj kisne kisne ravish k show khan market gang ko dekh intne fustation
31627,31627,i dont believe todays results i think all channels hacked,exitpoll,dont believe todays results think channels hacked,dont believe today result think channel hacked
31629,31629,i feel nda will stop around 250,exitpoll2019,feel nda stop around 250,feel nda stop around 250
31633,31633,mamataofficial jai siyaram,modiaanewalahai,mamataofficial jai siyaram,mamataofficial jai siyaram
31635,31635,gulzaaravi,exitpolls,gulzaaravi,gulzaaravi
31636,31636,timesnow in a single seat constituency3742 gt 422seriously,exitpoll2019,timesnow single seat constituency3742 gt 422seriously,timesnow single seat constituency3742 gt 422seriously
31637,31637,mayavati ji for india,exitpoll,mayavati ji india,mayavati ji india
31638,31638,the godi media has their contract till and they are doing their job well,exitpoll2019,godi media contract till job well,godi medium contract till job well
31640,31640,dear hindusdont worry pm narendramodi and his nda allies are winning 360 seats,exitpoll2019,dear hindusdont worry pm narendramodi nda allies winning 360 seats,dear hindusdont worry pm narendramodi nda ally winning 360 seat
31641,31641,the exit polls are a bluff 365 nda plus 45 others 410 forming government jai shreeraam,exitpoll2019,exit polls bluff 365 nda plus 45 others 410 forming government jai shreeraam,exit poll bluff 365 nda plus 45 others 410 forming government jai shreeraam
31642,31642,rahul right now,exitpoll2019,rahul right,rahul right
31643,31643,ropublic ro intezar kar,republicexitpoll,ropublic ro intezar kar,ropublic ro intezar kar
31646,31646,unlike chandrababu naidu mr vp mvenkaiahnaidu disappointed on exit polls,exitpoll2019,unlike chandrababu naidu mr vp mvenkaiahnaidu disappointed exit polls,unlike chandrababu naidu mr vp mvenkaiahnaidu disappointed exit poll
31647,31647,aayega to modi hi,exitpoll2019,aayega modi hi,aayega modi hi
31648,31648,republic i understand exit poll but what is this double exit poll sir,republicexitpoll,republic understand exit poll double exit poll sir,republic understand exit poll double exit poll sir
